geolocation_zip_code_prefix,geolocation_city,geolocation_state,geolocation_lat,geolocation_lng
1418,sao paulo,SP,-23.56312174,-46.65656671
1472,sao paulo,SP,-23.57054369,-46.69129668
1443,sao paulo,SP,-23.56750865,-46.68471806
1428,sao paulo,SP,-23.57646147,-46.65933149
1434,sao paulo,SP,-23.57791701,-46.6694526
1457,sao paulo,SP,-23.5788355,-46.6909282
1412,sao paulo,SP,-23.56442334,-46.66684085
1448,sao paulo,SP,-23.5774167,-46.67817482
1456,sao paulo,SP,-23.57850416,-46.6901183
1432,sao paulo,SP,-23.57442069,-46.66422199
1441,sao paulo,SP,-23.5756567,-46.68951883
1489,sao paulo,SP,-23.57664999,-46.68740005
1429,sao paulo,SP,-23.57524109,-46.66307398
1450,sao paulo,SP,-23.57492548,-46.685052
1440,sao paulo,SP,-23.56448528,-46.67441861
1438,sao paulo,SP,-23.57032558,-46.67299258
1444,sao paulo,SP,-23.60567566,-46.74544468
1436,sao paulo,SP,-23.5726508,-46.66771705
1447,sao paulo,SP,-23.57251768,-46.68071077
1439,sao paulo,SP,-23.56628327,-46.67340369
1431,sao paulo,SP,-23.57816664,-46.66288282
1437,sao paulo,SP,-23.57095472,-46.66969643
1526,sao paulo,SP,-23.56690213,-46.6300592
1509,sao paulo,SP,-23.56759053,-46.63545151
1504,sao paulo,SP,-23.56375858,-46.6389921
1536,sao paulo,SP,-23.56253963,-46.62234397
1535,sao paulo,SP,-23.56961802,-46.62490078
1511,sao paulo,SP,-23.55568231,-46.63309991
1534,sao paulo,SP,-23.5628474,-46.62391126
1514,sao paulo,SP,-23.55306435,-46.62768626
1529,sao paulo,SP,-23.56935316,-46.63690014
1539,sao paulo,SP,-23.57378256,-46.62058067
1532,sao paulo,SP,-23.57206085,-46.63613684
1542,sao paulo,SP,-23.57081105,-46.62114561
1548,sao paulo,SP,-23.57834656,-46.61471087
1543,sao paulo,SP,-23.57575585,-46.62009626
1544,sao paulo,SP,-23.5769225,-46.62291192
1546,sao paulo,SP,-23.57625295,-46.62235968
1523,sao paulo,SP,-23.56366379,-46.61929091
1506,sao paulo,SP,-23.56180273,-46.63479183
1518,sao paulo,SP,-23.55893044,-46.62292374
1510,sao paulo,SP,-23.55619866,-46.63344748
1537,sao paulo,SP,-23.56902278,-46.62199067
1531,sao paulo,SP,-23.57012417,-46.63265516
1549,sao paulo,SP,-23.57732127,-46.61708485
1533,sao paulo,SP,-23.57219854,-46.6391311
1525,sao paulo,SP,-23.5670089,-46.63752875
1520,sao paulo,SP,-23.55923867,-46.61831888
1550,sao paulo,SP,-23.57203616,-46.61521227
1503,sao paulo,SP,-23.55548824,-46.63559924
1541,sao paulo,SP,-23.5687223,-46.61880092
1545,sao paulo,SP,-23.58137306,-46.61787583
1522,sao paulo,SP,-23.55916467,-46.61546692
1508,sao paulo,SP,-23.56014607,-46.63334613
1519,sao paulo,SP,-23.56007529,-46.6218299
1547,sao paulo,SP,-23.58202355,-46.62322245
1538,sao paulo,SP,-23.573205,-46.62290025
1501,sao paulo,SP,-23.55193148,-46.6356909
1521,sao paulo,SP,-23.56012382,-46.62080822
1530,sao paulo,SP,-23.58614539,-46.72796029
1505,sao paulo,SP,-23.55539651,-46.63286103
1502,sao paulo,SP,-23.55498325,-46.63569905
1551,sao paulo,SP,-23.57664938,-46.61216233
1540,sao paulo,SP,-23.5646142,-46.6204983
1528,sao paulo,SP,-23.56326862,-46.62567807
1513,sao paulo,SP,-23.55689555,-46.6310037
1527,sao paulo,SP,-23.56314456,-46.62658014
1524,sao paulo,SP,-23.56704554,-46.616112
1507,sao paulo,SP,-23.55819745,-46.63164908
1512,sao paulo,SP,-23.5536449,-46.6326189
1552,sao paulo,SP,-23.5738359,-46.61101337
1553,sao paulo,SP,-23.57430308,-46.60968254
1516,sao paulo,SP,-23.55948466,-46.61446206
1517,sao paulo,SP,-23.56024793,-46.62483145
2019,sao paulo,SP,-23.498262,-46.62855054
2069,sao paulo,SP,-23.50688764,-46.61434088
2067,sao paulo,SP,-23.50589562,-46.60638997
2020,sao paulo,SP,-23.49908392,-46.63226647
2075,sao paulo,SP,-23.50202851,-46.60034967
2012,sao paulo,SP,-23.50836123,-46.62752419
2076,sao paulo,SP,-23.50692178,-46.59894961
2035,sao paulo,SP,-23.500395,-46.62233251
2034,sao paulo,SP,-23.50412274,-46.62460753
2022,sao paulo,SP,-23.50623787,-46.64043239
2021,sao paulo,SP,-23.49943999,-46.63380353
2080,sao paulo,SP,-23.49781772,-46.60657423
2066,sao paulo,SP,-23.50875908,-46.60297304
2085,sao paulo,SP,-23.49744368,-46.61260909
2030,sao paulo,SP,-23.50476958,-46.62470303
2064,sao paulo,SP,-23.51980758,-46.59604573
2029,sao paulo,SP,-23.51093659,-46.62008934
2060,sao paulo,SP,-23.51886128,-46.6038228
2054,sao paulo,SP,-23.51636255,-46.6056925
2072,sao paulo,SP,-23.50081051,-46.60427196
2017,sao paulo,SP,-23.50138125,-46.63920651
2018,sao paulo,SP,-23.49351105,-46.63106708
2043,sao paulo,SP,-23.49022304,-46.61732559
2074,sao paulo,SP,-23.50907581,-46.59346384
2038,sao paulo,SP,-23.49857049,-46.62335346
2016,sao paulo,SP,-23.50097763,-46.62712333
2040,sao paulo,SP,-23.48902299,-46.6218669
2056,sao paulo,SP,-23.51064064,-46.60409341
2051,sao paulo,SP,-23.51226774,-46.60874803
2041,sao paulo,SP,-23.49010232,-46.61972999
2039,sao paulo,SP,-23.49231066,-46.62052862
2073,sao paulo,SP,-23.50123032,-46.60751038
2082,sao paulo,SP,-23.49467073,-46.60965312
2033,sao paulo,SP,-23.50215379,-46.61688101
2013,sao paulo,SP,-23.50308575,-46.63382294
2079,sao paulo,SP,-23.50036683,-46.6026406
2037,sao paulo,SP,-23.49998652,-46.61873041
2083,sao paulo,SP,-23.49552086,-46.59927427
2068,sao paulo,SP,-23.50320809,-46.61302451
2071,sao paulo,SP,-23.50313754,-46.60968448
2047,sao paulo,SP,-23.51836389,-46.61420873
2078,sao paulo,SP,-23.50246061,-46.59374589
2044,sao paulo,SP,-23.49568082,-46.61894671
2084,sao paulo,SP,-23.49567503,-46.59947757
2055,sao paulo,SP,-23.51295294,-46.60830247
2042,sao paulo,SP,-23.4880224,-46.6190015
2045,sao paulo,SP,-23.49440602,-46.61732055
2036,sao paulo,SP,-23.5021075,-46.62196128
2046,sao paulo,SP,-23.48774785,-46.61152878
2010,sao paulo,SP,-23.51492956,-46.62640583
2081,sao paulo,SP,-23.49664722,-46.60503619
2050,sao paulo,SP,-23.5165435,-46.61056316
2052,sao paulo,SP,-23.50946693,-46.6068675
2031,sao paulo,SP,-23.515069,-46.62531652
2028,sao paulo,SP,-23.50751845,-46.61747075
2065,sao paulo,SP,-23.50172637,-46.60239776
2077,sao paulo,SP,-23.50100111,-46.59626328
2011,sao paulo,SP,-23.50190277,-46.62622917
2049,sao paulo,SP,-23.51497582,-46.61611265
2032,sao paulo,SP,-23.51077695,-46.62390843
2053,sao paulo,SP,-23.51042744,-46.6011795
2009,sao paulo,SP,-23.5157991,-46.64113909
2089,sao paulo,SP,-23.51709448,-46.6166731
2088,sao paulo,SP,-23.50424026,-46.62074207
2150,sao paulo,SP,-23.4957502,-46.56850789
2133,sao paulo,SP,-23.50029146,-46.58561516
2167,sao paulo,SP,-23.52290395,-46.5818041
2130,sao paulo,SP,-23.50810094,-46.58282425
2188,sao paulo,SP,-23.50750947,-46.56565714
2152,sao paulo,SP,-23.49815871,-46.57321173
2138,sao paulo,SP,-23.4956516,-46.57582723
2134,sao paulo,SP,-23.49931808,-46.57812437
2176,sao paulo,SP,-23.51226784,-46.57370473
2117,sao paulo,SP,-23.52019456,-46.59353893
2119,sao paulo,SP,-23.51359387,-46.59299116
2131,sao paulo,SP,-23.50281071,-46.58176193
2124,sao paulo,SP,-23.50636476,-46.58066376
2129,sao paulo,SP,-23.5052157,-46.58945987
2132,sao paulo,SP,-23.49833145,-46.5804145
2110,sao paulo,SP,-23.52188843,-46.59374226
2135,sao paulo,SP,-23.49880797,-46.57363113
2127,sao paulo,SP,-23.50238052,-46.58273095
2114,sao paulo,SP,-23.52285334,-46.59177958
2178,sao paulo,SP,-23.5198384,-46.57027291
2177,sao paulo,SP,-23.51111277,-46.56976217
2120,sao paulo,SP,-23.51041663,-46.59421775
2161,sao paulo,SP,-23.49126219,-46.57078598
2112,sao paulo,SP,-23.51266818,-46.58665534
2126,sao paulo,SP,-23.50685808,-46.59162344
2169,sao paulo,SP,-23.51932718,-46.57580723
2123,sao paulo,SP,-23.5107737,-46.57804828
2189,sao paulo,SP,-23.5076215,-46.56616243
2128,sao paulo,SP,-23.50399491,-46.59463824
2179,sao paulo,SP,-23.51950161,-46.5673105
2136,sao paulo,SP,-23.49825445,-46.57847266
2174,sao paulo,SP,-23.52306256,-46.5718968
2186,sao paulo,SP,-23.51335483,-46.56877347
2137,sao paulo,SP,-23.50176923,-46.57187321
2185,sao paulo,SP,-23.51228361,-46.56782304
2181,sao paulo,SP,-23.52093291,-46.56270977
2180,sao paulo,SP,-23.51997319,-46.56594004
2111,sao paulo,SP,-23.51578921,-46.59197639
2187,sao paulo,SP,-23.51512572,-46.5648995
2121,sao paulo,SP,-23.51181354,-46.58921527
2190,sao paulo,SP,-23.50991203,-46.56318689
2139,sao paulo,SP,-23.49413494,-46.5734397
2143,sao paulo,SP,-23.5079923,-46.57521707
2122,sao paulo,SP,-23.51317219,-46.58263962
2115,sao paulo,SP,-23.52649951,-46.59188594
2118,sao paulo,SP,-23.51661168,-46.59476458
2125,sao paulo,SP,-23.50795714,-46.58846138
2113,sao paulo,SP,-23.51528796,-46.58734465
2147,sao paulo,SP,-23.49955674,-46.56521996
2141,sao paulo,SP,-23.48912566,-46.57563102
2170,sao paulo,SP,-23.52538,-46.57609
2166,sao paulo,SP,-23.52506009,-46.58373822
2175,sao paulo,SP,-23.51671874,-46.57445726
2168,sao paulo,SP,-23.52017488,-46.57883175
2116,sao paulo,SP,-23.52270007,-46.58754576
2145,sao paulo,SP,-23.50149554,-46.56529291
2151,sao paulo,SP,-23.49353773,-46.56649158
2146,sao paulo,SP,-23.50095702,-46.57088226
2144,sao paulo,SP,-23.50507517,-46.57083606
2162,sao paulo,SP,-23.49030645,-46.56191043
2142,sao paulo,SP,-23.50986007,-46.57548532
2116,sao paulo,RN,-23.51597815,-46.58216997
2251,sao paulo,SP,-23.47989462,-46.59551128
2256,sao paulo,SP,-23.47606968,-46.5875754
2246,sao paulo,SP,-23.49191348,-46.60200386
2223,sao paulo,SP,-23.47872104,-46.58108916
2225,sao paulo,SP,-23.4803395,-46.57586314
2204,sao paulo,SP,-23.48374059,-46.58985709
2235,sao paulo,SP,-23.47943869,-46.57901479
2245,sao paulo,SP,-23.48347746,-46.60599175
2243,sao paulo,SP,-23.49083844,-46.59835784
2208,sao paulo,SP,-23.48101575,-46.58546645
2222,sao paulo,SP,-23.4846303,-46.57788817
2232,sao paulo,SP,-23.47619014,-46.56109124
2203,sao paulo,SP,-23.49169231,-46.59024532
2250,sao paulo,SP,-23.48654952,-46.59469228
2263,sao paulo,SP,-23.4635328,-46.57715608
2238,sao paulo,SP,-23.47019809,-46.56484109
2261,sao paulo,SP,-23.46735987,-46.57715992
2267,sao paulo,SP,-23.4764328,-46.59817822
2270,sao paulo,SP,-23.47279357,-46.59464741
2227,sao paulo,SP,-23.48325358,-46.56925871
2273,sao paulo,SP,-23.45886783,-46.58574627
2244,sao paulo,SP,-23.49047396,-46.60639167
2229,sao paulo,SP,-23.47929118,-46.56787619
2215,sao paulo,SP,-23.49108905,-46.58508188
2259,sao paulo,SP,-23.47160797,-46.58038944
2228,sao paulo,SP,-23.48005593,-46.56981691
2254,sao paulo,SP,-23.48511797,-46.59617459
2218,sao paulo,SP,-23.48673525,-46.58408012
2247,sao paulo,SP,-23.48489061,-46.60210519
2226,sao paulo,SP,-23.48463245,-46.57191858
2274,sao paulo,SP,-23.46824405,-46.58503083
2220,sao paulo,SP,-23.49074591,-46.57794384
2217,sao paulo,SP,-23.49033589,-46.58028421
2265,sao paulo,SP,-23.47651944,-46.59554968
2276,sao paulo,SP,-23.45990238,-46.58449612
2242,sao paulo,SP,-23.48813303,-46.60765996
2269,sao paulo,SP,-23.47459295,-46.59615302
2221,sao paulo,SP,-23.48197842,-46.58058753
2279,sao paulo,SP,-23.46048083,-46.5758522
2249,sao paulo,SP,-23.49108295,-46.59518841
2237,sao paulo,SP,-23.4650308,-46.56958829
2206,sao paulo,SP,-23.48707625,-46.58987268
2258,sao paulo,SP,-23.47623536,-46.58210665
2236,sao paulo,SP,-23.47463253,-46.56894075
2205,sao paulo,SP,-23.4891017,-46.58859077
2241,sao paulo,SP,-23.49051879,-46.60742306
2219,sao paulo,SP,-23.48793569,-46.58086279
2257,sao paulo,SP,-23.4717242,-46.58517131
2230,sao paulo,SP,-23.48274827,-46.56490113
2210,sao paulo,SP,-23.48653953,-46.57926776
2266,sao paulo,SP,-23.47351768,-46.59417129
2211,sao paulo,SP,-23.49702202,-46.59590298
2280,sao paulo,SP,-23.45423291,-46.57383309
2278,sao paulo,SP,-23.46353896,-46.58182067
2264,sao paulo,SP,-23.46306764,-46.57733469
2201,sao paulo,SP,-23.48564923,-46.59218589
2253,sao paulo,SP,-23.47954552,-46.59692262
2281,sao paulo,SP,-23.44917893,-46.57435095
2248,sao paulo,SP,-23.48220704,-46.60000341
2255,sao paulo,SP,-23.47597013,-46.59145922
2277,sao paulo,SP,-23.46274979,-46.5820018
2272,sao paulo,SP,-23.46986315,-46.58785305
2271,sao paulo,SP,-23.46891225,-46.58807266
2282,sao paulo,SP,-23.44562185,-46.56747062
2224,sao paulo,SP,-23.48135107,-46.56704819
2275,sao paulo,SP,-23.46509715,-46.59050302
2233,sao paulo,SP,-23.4753849,-46.56433956
2209,sao paulo,SP,-23.48506483,-46.58236127
2212,sao paulo,SP,-23.49452516,-46.58841008
2288,sao paulo,SP,-23.432886,-46.5713235
2260,sao paulo,SP,-23.46930258,-46.57550487
2234,sao paulo,SP,-23.47627439,-46.56835101
2213,sao paulo,SP,-23.49287325,-46.58454116
2202,sao paulo,SP,-23.49312608,-46.59436598
2262,sao paulo,SP,-23.46668605,-46.57587711
2216,sao paulo,SP,-23.49453401,-46.57783583
2214,sao paulo,SP,-23.49363687,-46.58577018
2268,sao paulo,SP,-23.46882275,-46.59341773
2207,sao paulo,SP,-23.48586999,-46.59066163
2239,sao paulo,SP,-23.48392627,-46.60867004
2252,sao paulo,SP,-23.479317,-46.59043405
2240,sao paulo,SP,-23.48014782,-46.60409553
2231,sao paulo,SP,-23.4778562,-46.56407653
2290,sao paulo,SP,-23.54329484,-46.63074319
2284,sao paulo,SP,-23.4697032,-46.56868272
2289,sao paulo,SP,-23.41706739,-46.58363162
2286,sao paulo,SP,-23.40858677,-46.57960324
2309,sao paulo,SP,-23.47726214,-46.60430128
2377,sao paulo,SP,-23.45681372,-46.63254373
2371,sao paulo,SP,-23.46086186,-46.61997268
2323,sao paulo,SP,-23.50276001,-46.57361974
2311,sao paulo,SP,-23.46784102,-46.60066695
2374,sao paulo,SP,-23.45646558,-46.620581
2316,sao paulo,SP,-23.46201076,-46.5946763
2366,sao paulo,SP,-23.42982948,-46.59294653
2321,sao paulo,SP,-23.44749412,-46.58851618
2315,sao paulo,SP,-23.4633621,-46.59647162
2330,sao paulo,SP,-23.48506316,-46.61571377
2319,sao paulo,SP,-23.45017071,-46.58967747
2312,sao paulo,SP,-23.46413522,-46.602395
2341,sao paulo,SP,-23.45697642,-46.61452743
2334,sao paulo,SP,-23.48496374,-46.61933914
2347,sao paulo,SP,-23.46067439,-46.60560913
2365,sao paulo,SP,-23.42478937,-46.58054625
2375,sao paulo,SP,-23.45392257,-46.62613576
2372,sao paulo,SP,-23.45903597,-46.62370415
2367,sao paulo,SP,-23.42308723,-46.58728156
2343,sao paulo,SP,-23.47014583,-46.60632378
2306,sao paulo,SP,-23.45244942,-46.60149896
2313,sao paulo,SP,-23.46520665,-46.59849775
2305,sao paulo,SP,-23.48041189,-46.60653306
